'2017', '65 208 km', '1 422 cm3', 'Diesel', '35 900 PLN', '(Mazowieckie)'
'2020', '8 000 km', '999 cm3', 'Benzyna', '57 900 PLN', '(£ódzkie)'
'2019', '41 355 km', '999 cm3', 'Benzyna+LPG', '46 000 PLN', '(Œl¹skie)'
'2017', '30 587 km', '999 cm3', 'Benzyna', '46 000 PLN', '(Œl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '61 350 PLN', '(Dolnoœl¹skie)'
'2017', '131 960 km', '999 cm3', 'Benzyna', '28 000 PLN', '(Dolnoœl¹skie)'
'2017', '139 315 km', '999 cm3', 'Benzyna', '28 000 PLN', '(Mazowieckie)'
'2017', '141 935 km', '999 cm3', 'Benzyna', '28 000 PLN', '(Mazowieckie)'
'2018', '73 233 km', '999 cm3', 'Benzyna', '42 075 PLN', '(Mazowieckie)'
'2020', '1 km', '999 cm3', 'Benzyna', '57 350 PLN', '(£ódzkie)'
'2020', '5 km', '999 cm3', 'Benzyna', '72 990 PLN', '(Pomorskie)'
'2020', '5 km', '999 cm3', 'Benzyna', '79 990 PLN', '(Pomorskie)'
'2020', '5 km', '999 cm3', 'Benzyna', '74 590 PLN', '(Pomorskie)'
'2020', '5 km', '999 cm3', 'Benzyna', '68 890 PLN', '(Pomorskie)'
'2020', '10 km', '999 cm3', 'Benzyna', '67 990 PLN', '(Pomorskie)'
'2018', '86 000 km', '999 cm3', 'Benzyna+LPG', '34 999 PLN', '(Mazowieckie)'
'2019', '12 000 km', '999 cm3', 'Benzyna', '47 368 PLN', '(Pomorskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '60 200 PLN', '(Dolnoœl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '59 850 PLN', '(£ódzkie)'
'2017', '39 010 km', '999 cm3', 'Benzyna', '32 000 PLN', '(Mazowieckie)'
'2017', '128 000 km', '1 422 cm3', 'Diesel', '29 900 PLN', '(Mazowieckie)'
'2018', '3 200 km', '999 cm3', 'Benzyna', '59 900 PLN', '(Œl¹skie)'
'2017', '124 822 km', '1 422 cm3', 'Diesel', '29 500 PLN', '(Dolnoœl¹skie)'
'2017', '137 331 km', '1 422 cm3', 'Diesel', '30 000 PLN', '(Dolnoœl¹skie)'
'2017', '84 259 km', '1 422 cm3', 'Diesel', '32 900 PLN', '(Mazowieckie)'
